Fiscal _Year_Released,Recidivism_Reporting_Year,Age_At_Release,Days_To_Return,Release_Type,Race_Ethnicity,Sex,Offense_Classification,Offense_Type,Offense_Subtype,Return_To_Prison,Recidivism_Type,New_Offense_Classification,New_Offense_Type,New_Offense_Subtype
2010,2013,Under 25,763,Discharged or End of Sentence,White - Non-Hispanic,Male,D Felony,Public Order,OWI,Yes,New,Serious Misdemeanor,Violent,Assault
2010,2013,35-44,598,Parole,White - Non-Hispanic,Female,D Felony,Property,Theft,Yes,Tech,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,Black - Non-Hispanic,Female,C Felony,Violent,Sex,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,Black - Non-Hispanic,Male,Aggravated Misdemeanor,Property,Theft,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,Black - Non-Hispanic,Male,Aggravated Misdemeanor,Property,Theft,No,No Recidivism,0,0,0
2010,2013,35-44,0,Parole,White - Non-Hispanic,Male,D Felony,Violent,Assault,No,No Recidivism,0,0,0
2010,2013,35-44,0,Parole,White - Non-Hispanic,Male,D Felony,Violent,Assault,No,No Recidivism,0,0,0
2010,2013,Under 25,0,Discharged or End of Sentence,Black - Non-Hispanic,Male,D Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,Under 25,0,Discharged or End of Sentence,Black - Non-Hispanic,Male,D Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,Under 25,0,Discharged or End of Sentence,Black - Non-Hispanic,Male,D Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,Under 25,0,Discharged or End of Sentence,Black - Non-Hispanic,Male,D Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,Under 25,399,Parole,White - Non-Hispanic,Male,D Felony,Drug,Trafficking,Yes,New,D Felony,Drug,Trafficking
2010,2013,Under 25,0,Parole,Black - Non-Hispanic,Female,Aggravated Misdemeanor,Property,Forgery/Fraud,No,No Recidivism,0,0,0
2010,2013,45-54,0,Parole,White - Non-Hispanic,Male,Aggravated Misdemeanor,Property,Theft,No,No Recidivism,0,0,0
2010,2013,25-34,0,Parole,American Indian or Alaska Native - Non-Hispanic,Male,Felony - Enhanced,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,497,Parole,White - Non-Hispanic,Male,B Felony,Drug,Trafficking,Yes,New,Felony - Enhancement to Original Penalty,Drug,Trafficking
2010,2013,25-34,147,Parole,White - Non-Hispanic,Male,Felony - Enhanced,Property,Theft,Yes,Tech,0,0,0
2010,2013,Under 25,263,Parole,White - Non-Hispanic,Male,D Felony,Property,Theft,Yes,New,Serious Misdemeanor,Public Order,Flight/Escape
2010,2013,25-34,0,Discharged or End of Sentence,White - Hispanic,Male,B Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Hispanic,Male,B Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Hispanic,Male,B Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Hispanic,Male,B Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Hispanic,Male,B Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Hispanic,Male,B Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Hispanic,Male,B Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Hispanic,Male,B Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,467,Discharged or End of Sentence,White - Non-Hispanic,Male,Aggravated Misdemeanor,Violent,Assault,Yes,New,D Felony,Property,Burglary
2010,2013,25-34,160,Parole,Black - Non-Hispanic,Male,C Felony,Property,Burglary,Yes,Tech,0,0,0
2010,2013,35-44,0,Parole,Black - Non-Hispanic,Male,D Felony,Property,Burglary,No,No Recidivism,0,0,0
2010,2013,55 and Older,0,Parole,White - Non-Hispanic,Male,C Felony,Property,Theft,No,No Recidivism,0,0,0
2010,2013,25-34,0,Parole,White - Non-Hispanic,Male,D Felony,Public Order,Traffic,No,No Recidivism,0,0,0
2010,2013,55 and Older,0,Parole,Black - Non-Hispanic,Male,Felony - Enhanced,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,314,Parole,White - Non-Hispanic,Male,D Felony,Drug,Trafficking,Yes,Tech,0,0,0
2010,2013,35-44,0,Parole,White - Non-Hispanic,Male,Aggravated Misdemeanor,Public Order,Alcohol,No,No Recidivism,0,0,0
2010,2013,35-44,0,Parole,White - Non-Hispanic,Male,Aggravated Misdemeanor,Public Order,Alcohol,No,No Recidivism,0,0,0
2010,2013,Under 25,0,Discharged or End of Sentence,White - Hispanic,Male,D Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,45-54,898,Parole,White - Non-Hispanic,Female,Felony - Enhanced,Drug,Trafficking,Yes,New,Aggravated Misdemeanor,Violent,Assault
2010,2013,25-34,0,Discharged or End of Sentence,American Indian or Alaska Native - Non-Hispanic,Male,C Felony,Violent,Sex,No,No Recidivism,0,0,0
2010,2013,25-34,212,Discharged or End of Sentence,White - Non-Hispanic,Male,C Felony,Property,Theft,Yes,New,Serious Misdemeanor,Violent,Assault
2010,2013,45-54,0,Discharged or End of Sentence,American Indian or Alaska Native - Non-Hispanic,Female,D Felony,Drug,Other Drug,No,No Recidivism,0,0,0
2010,2013,Under 25,166,Parole,White - Non-Hispanic,Male,C Felony,Property,Burglary,Yes,Tech,0,0,0
2010,2013,25-34,653,Parole,White - Non-Hispanic,Male,C Felony,Violent,Robbery,Yes,New,D Felony,Property,Forgery/Fraud
2010,2013,25-34,0,Parole,Black - Non-Hispanic,Male,Felony - Enhanced,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Parole,Black - Non-Hispanic,Male,Felony - Enhanced,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Male,D Felony,Public Order,Traffic,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Male,D Felony,Public Order,Traffic,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Male,D Felony,Public Order,Traffic,No,No Recidivism,0,0,0
2010,2013,25-34,582,Parole,White - Non-Hispanic,Male,Felony - Enhanced,Property,Theft,Yes,New,Felony - Enhancement to Original Penalty,Other,Other Criminal
2010,2013,35-44,0,Discharged or End of Sentence,American Indian or Alaska Native - Hispanic,Male,Aggravated Misdemeanor,Property,Theft,No,No Recidivism,0,0,0
2010,2013,35-44,0,Parole,White - Non-Hispanic,Female,D Felony,Property,Forgery/Fraud,No,No Recidivism,0,0,0
2010,2013,35-44,0,Parole,White - Non-Hispanic,Female,D Felony,Property,Forgery/Fraud,No,No Recidivism,0,0,0
2010,2013,35-44,0,Parole,White - Non-Hispanic,Female,D Felony,Property,Forgery/Fraud,No,No Recidivism,0,0,0
2010,2013,25-34,629,Parole,White - Non-Hispanic,Female,B Felony,Other,Other Criminal,Yes,Tech,0,0,0
2010,2013,35-44,796,Parole,Black - Non-Hispanic,Male,D Felony,Property,Forgery/Fraud,Yes,New,Aggravated Misdemeanor,Property,Theft
2010,2013,45-54,272,Discharged or End of Sentence,White - Non-Hispanic,Male,Aggravated Misdemeanor,Violent,Assault,Yes,New,Aggravated Misdemeanor,Public Order,Traffic
2010,2013,25-34,0,Discharged or End of Sentence,Asian or Pacific Islander - Non-Hispanic,Male,Aggravated Misdemeanor,Property,Vandalism,No,No Recidivism,0,0,0
2010,2013,55 and Older,455,Parole,Black - Non-Hispanic,Male,C Felony,Drug,Trafficking,Yes,New,Aggravated Misdemeanor,Violent,Assault
2010,2013,35-44,0,Parole,White - Hispanic,Male,C Felony,Violent,Robbery,No,No Recidivism,0,0,0
2010,2013,25-34,0,Parole,White - Non-Hispanic,Male,D Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Parole,White - Non-Hispanic,Male,D Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Parole,White - Non-Hispanic,Male,D Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Parole,White - Non-Hispanic,Male,D Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Parole,White - Non-Hispanic,Male,D Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,55 and Older,0,Discharged or End of Sentence,White - Non-Hispanic,Female,B Felony,Violent,Sex,No,No Recidivism,0,0,0
2010,2013,25-34,0,Parole,White - Non-Hispanic,Female,D Felony,Property,Forgery/Fraud,No,No Recidivism,0,0,0
2010,2013,Under 25,0,Parole,White - Non-Hispanic,Male,C Felony,Drug,Other Drug,No,No Recidivism,0,0,0
2010,2013,35-44,0,Discharged or End of Sentence,Black - Non-Hispanic,Male,D Felony,Violent,Other Violent,No,No Recidivism,0,0,0
2010,2013,45-54,0,Parole,White - Non-Hispanic,Male,D Felony,Public Order,Weapons,No,No Recidivism,0,0,0
2010,2013,35-44,0,Parole,White - Non-Hispanic,Male,D Felony,Violent,Assault,No,No Recidivism,0,0,0
2010,2013,45-54,0,Parole,White - Hispanic,Male,D Felony,Public Order,OWI,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Male,Aggravated Misdemeanor,Property,Theft,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Male,Aggravated Misdemeanor,Property,Theft,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Male,Aggravated Misdemeanor,Property,Theft,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Male,Aggravated Misdemeanor,Property,Theft,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Male,Aggravated Misdemeanor,Property,Theft,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Male,Aggravated Misdemeanor,Property,Theft,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Male,Aggravated Misdemeanor,Property,Theft,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Male,Aggravated Misdemeanor,Property,Theft,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Male,Aggravated Misdemeanor,Property,Theft,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Male,Aggravated Misdemeanor,Property,Theft,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Male,Aggravated Misdemeanor,Property,Theft,No,No Recidivism,0,0,0
2010,2013,25-34,0,Parole,White - Non-Hispanic,Female,D Felony,Drug,Drug Possession,No,No Recidivism,0,0,0
2010,2013,25-34,323,Parole,White - Non-Hispanic,Male,Aggravated Misdemeanor,Drug,Drug Possession,Yes,New,D Felony,Violent,Assault
2010,2013,55 and Older,593,Parole,White - Non-Hispanic,Female,D Felony,Property,Theft,Yes,New,Aggravated Misdemeanor,Property,Theft
2010,2013,25-34,737,Parole,White - Non-Hispanic,Male,D Felony,Violent,Other Violent,Yes,New,Aggravated Misdemeanor,Property,Theft
2010,2013,25-34,846,Discharged or End of Sentence,Black - Non-Hispanic,Male,B Felony,Violent,Other Violent,Yes,Tech,0,0,0
2010,2013,45-54,0,Parole,White - Non-Hispanic,Female,D Felony,Property,Theft,No,No Recidivism,0,0,0
2010,2013,25-34,216,Parole,White - Non-Hispanic,Male,D Felony,Property,Theft,Yes,Tech,0,0,0
2010,2013,35-44,0,Parole,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,45-54,874,Discharged or End of Sentence,White - Non-Hispanic,Male,D Felony,Property,Burglary,Yes,New,D Felony,Public Order,Weapons
2010,2013,45-54,0,Parole,White - Non-Hispanic,Male,D Felony,Property,Burglary,No,No Recidivism,0,0,0
2010,2013,35-44,0,Parole,Black - Non-Hispanic,Female,D Felony,Property,Theft,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Female,D Felony,Property,Burglary,No,No Recidivism,0,0,0
2010,2013,25-34,146,Discharged or End of Sentence,Asian or Pacific Islander - Non-Hispanic,Male,D Felony,Violent,Assault,Yes,Tech,0,0,0
2010,2013,35-44,0,Parole,White - Non-Hispanic,Female,D Felony,Property,Forgery/Fraud,No,No Recidivism,0,0,0
2010,2013,35-44,0,Parole,White - Non-Hispanic,Female,D Felony,Property,Forgery/Fraud,No,No Recidivism,0,0,0
2010,2013,35-44,0,Parole,White - Non-Hispanic,Female,D Felony,Property,Forgery/Fraud,No,No Recidivism,0,0,0
2010,2013,25-34,449,Parole,White - Hispanic,Male,C Felony,Drug,Trafficking,Yes,Tech,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Hispanic,Male,D Felony,Property,Forgery/Fraud,No,No Recidivism,0,0,0
2010,2013,35-44,127,Parole,White - Non-Hispanic,Male,C Felony,Property,Theft,Yes,Tech,0,0,0
2010,2013,25-34,403,Parole,Black - Non-Hispanic,Male,C Felony,Drug,Trafficking,Yes,New,D Felony,Drug,Drug Possession
2010,2013,35-44,1085,Parole,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,Yes,Tech,0,0,0
2010,2013,25-34,949,Discharged or End of Sentence,White - Non-Hispanic,Male,Aggravated Misdemeanor,Property,Theft,Yes,New,D Felony,Property,Theft
2010,2013,35-44,0,Discharged or End of Sentence,White - Hispanic,Female,D Felony,Property,Theft,No,No Recidivism,0,0,0
2010,2013,55 and Older,0,Discharged or End of Sentence,Black - Non-Hispanic,Male,D Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,35-44,0,Discharged or End of Sentence,White - Non-Hispanic,Male,C Felony,Property,Burglary,No,No Recidivism,0,0,0
2010,2013,35-44,0,Discharged or End of Sentence,White - Non-Hispanic,Male,C Felony,Property,Burglary,No,No Recidivism,0,0,0
2010,2013,35-44,0,Discharged or End of Sentence,White - Non-Hispanic,Male,C Felony,Property,Burglary,No,No Recidivism,0,0,0
2010,2013,45-54,734,Parole,Black - Non-Hispanic,Male,Felony - Enhanced,Property,Theft,Yes,Tech,0,0,0
2010,2013,25-34,0,Parole,Black - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Parole,Black - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Parole,Black - Non-Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Hispanic,Male,C Felony,Violent,Sex,No,No Recidivism,0,0,0
2010,2013,35-44,0,Parole,White - Non-Hispanic,Male,D Felony,Drug,Drug Possession,No,No Recidivism,0,0,0
2010,2013,35-44,0,Parole,White - Non-Hispanic,Male,D Felony,Drug,Drug Possession,No,No Recidivism,0,0,0
2010,2013,55 and Older,0,Parole,White - Hispanic,Male,C Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,Under 25,494,Parole,White - Non-Hispanic,Male,D Felony,Drug,Other Drug,Yes,New,Serious Misdemeanor,Public Order,OWI
2010,2013,25-34,0,Parole,White - Non-Hispanic,Male,Felony - Enhanced,Violent,Assault,No,No Recidivism,0,0,0
2010,2013,25-34,0,Parole,White - Hispanic,Male,D Felony,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,45-54,46,Parole,White - Non-Hispanic,Male,C Felony,Violent,Robbery,Yes,Tech,0,0,0
2010,2013,25-34,541,Parole,Black - Non-Hispanic,Male,C Felony,Drug,Trafficking,Yes,New,Felony - Enhancement to Original Penalty,Drug,Trafficking
2010,2013,35-44,324,Discharged or End of Sentence,Black - Non-Hispanic,Male,Aggravated Misdemeanor,Violent,Assault,Yes,New,D Felony,Public Order,OWI
2010,2013,Under 25,343,Parole,Black - Non-Hispanic,Male,C Felony,Property,Theft,Yes,Tech,0,0,0
2010,2013,Under 25,58,Parole,White - Non-Hispanic,Male,D Felony,Property,Vandalism,Yes,New,Aggravated Misdemeanor,Public Order,Alcohol
2010,2013,25-34,0,Parole,White - Hispanic,Male,D Felony,Public Order,OWI,No,No Recidivism,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Hispanic,Male,D Felony,Drug,Drug Possession,No,No Recidivism,0,0,0
2010,2013,Under 25,16,Parole,White - Non-Hispanic,Male,D Felony,Violent,Assault,Yes,Tech,0,0,0
2010,2013,Under 25,273,Parole,White - Non-Hispanic,Female,C Felony,Drug,Trafficking,Yes,Tech,0,0,0
2010,2013,25-34,0,Discharged or End of Sentence,White - Non-Hispanic,Male,Aggravated Misdemeanor,Public Order,Flight/Escape,No,No Recidivism,0,0,0
2010,2013,45-54,353,Discharged or End of Sentence,White - Non-Hispanic,Male,Aggravated Misdemeanor,Public Order,Alcohol,Yes,New,Aggravated Misdemeanor,Public Order,OWI
2010,2013,25-34,555,Discharged or End of Sentence,Black - Non-Hispanic,Male,C Felony,Violent,Sex,Yes,New,D Felony,Drug,Trafficking
2010,2013,Under 25,0,Parole,Black - Non-Hispanic,Male,D Felony,Public Order,Weapons,No,No Recidivism,0,0,0
2010,2013,25-34,921,Discharged or End of Sentence,Black - Non-Hispanic,Male,D Felony,Property,Vandalism,Yes,New,Aggravated Misdemeanor,Violent,Assault
2010,2013,35-44,516,Parole,White - Non-Hispanic,Male,D Felony,Property,Theft,Yes,Tech,0,0,0
2010,2013,25-34,0,Parole,Black - Non-Hispanic,Male,D Felony,Violent,Assault,No,No Recidivism,0,0,0
2010,2013,Under 25,235,Parole,Black - Non-Hispanic,Male,C Felony,Drug,Trafficking,Yes,New,B Felony,Drug,Trafficking
2010,2013,25-34,169,Parole,White - Non-Hispanic,Male,D Felony,Drug,Drug Possession,Yes,Tech,0,0,0
2010,2013,Under 25,182,Parole,White - Non-Hispanic,Male,D Felony,Drug,Other Drug,Yes,Tech,0,0,0
2010,2013,25-34,90,Special Sentence,Black - Non-Hispanic,Male,Aggravated Misdemeanor,Violent,Assault,Yes,Tech,0,0,0
2010,2013,25-34,0,Parole,White - Non-Hispanic,Male,C Felony,Violent,Sex,No,No Recidivism,0,0,0
2010,2013,25-34,0,Parole,White - Non-Hispanic,Male,C Felony,Property,Arson,No,No Recidivism,0,0,0
2010,2013,25-34,442,Parole,Black - Non-Hispanic,Female,C Felony,Property,Theft,Yes,New,Aggravated Misdemeanor,Property,Theft
2010,2013,45-54,194,Parole,White - Non-Hispanic,Male,Felony - Enhanced,Drug,Trafficking,Yes,New,Felony - Enhancement to Original Penalty,Drug,Trafficking
2010,2013,45-54,0,Discharged or End of Sentence,Black - Non-Hispanic,Male,D Felony,Drug,Other Drug,No,No Recidivism,0,0,0
2010,2013,35-44,174,Parole,Black - Non-Hispanic,Male,C Felony,Property,Burglary,Yes,Tech,0,0,0
2010,2013,25-34,0,Parole,Black - Non-Hispanic,Male,D Felony,Property,Forgery/Fraud,No,No Recidivism,0,0,0
2010,2013,45-54,880,Parole,Black - Non-Hispanic,Male,Felony - Enhanced,Property,Forgery/Fraud,Yes,Tech,0,0,0
2010,2013,45-54,0,Parole,Black - Non-Hispanic,Male,D Felony,Property,Burglary,No,No Recidivism,0,0,0
2010,2013,55 and Older,134,Parole,White - Non-Hispanic,Male,D Felony,Public Order,OWI,Yes,Tech,0,0,0
2010,2013,35-44,0,Parole,White - Non-Hispanic,Male,Felony - Enhanced,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,35-44,0,Parole,White - Non-Hispanic,Male,Felony - Enhanced,Drug,Trafficking,No,No Recidivism,0,0,0
2010,2013,Under 25,0,Parole,White - Non-Hispanic,Male,Aggravated Misdemeanor,Property,Theft,No,No Recidivism,0,0,0
2010,2013,35-44,283,Discharged or End of Sentence,White - Non-Hispanic,Female,Aggravated Misdemeanor,Property,Forgery/Fraud,Yes,New,D Felony,Property,Theft
2010,2013,25-34,95,Parole,White - Non-Hispanic,Male,C Felony,Drug,Trafficking,Yes,New,Serious Misdemeanor,Public Order,Flight/Escape
2010,2013,Under 25,547,Discharged or End of Sentence,White - Non-Hispanic,Male,C Felony,Violent,Assault,Yes,Tech,0,0,0
2010,2013,45-54,1037,Parole,Black - Non-Hispanic,Male,D Felony,Public Order,Sex Offender Registry/Residency,Yes,New,Aggravated Misdemeanor,Public Order,Traffic
2010,2013,45-54,0,Parole,Black - Non-Hispanic,Female,C Felony,Property,Theft,No,No Recidivism,0,0,0
2010,2013,45-54,0,Parole,White - Non-Hispanic,Male,D Felony,Public Order,Weapons,No,No Recidivism,0,0,0
2010,2013,45-54,0,Discharged or End of Sentence,White - Non-Hispanic,Male,Felony - Enhanced,Property,Burglary,No,No Recidivism,0,0,0
2010,2013,25-34,500,Discharged or End of Sentence,White - Non-Hispanic,Male,C Felony,Property,Theft,Yes,New,C Felony,Violent,Robbery
2010,2013,35-44,0,Special Sentence,White - Non-Hispanic,Male,Aggravated Misdemeanor,Violent,Sex,No,No Recidivism,0,0,0
2010,2013,55 and Older,0,Parole,Black - Non-Hispanic,Male,D Felony,Drug,Drug Possession,No,No Recidivism,0,0,0
2010,2013,Under 25,0,Discharged or End of Sentence,White - Hispanic,Male,C Felony,Property,Burglary,No,No Recidivism,0,0,0
2010,2013,Under 25,0,Discharged or End of Sentence,White - Hispanic,Male,C Felony,Property,Burglary,No,No Recidivism,0,0,0
2010,2013,25-34,341,Parole,American Indian or Alaska Native - Non-Hispanic,Male,C Felony,Drug,Trafficking,Yes,Tech,0,0,0
2010,2013,35-44,511,Parole,White - Non-Hispanic,Male,Felony - Enhanced,Property,Forgery/Fraud,Yes,Tech,0,0,0
2010,2013,35-44,1035,Discharged or End of Sentence,White - Non-Hispanic,Male,Aggravated Misdemeanor,Violent,Assault,Yes,New,Aggravated Misdemeanor,Property,Theft
2010,2013,35-44,0,Parole,White - Non-Hispanic,Male,D Felony,Drug,Other Drug,No,No Recidivism,0,0,0
2010,2013,45-54,0,Discharged or End of Sentence,White - Non-Hispanic,Male,Aggravated Misdemeanor,Public Order,Sex Offender Registry/Residency,No,No Recidivism,0,0,0
2010,2013,45-54,0,Discharged or End of Sentence,White - Non-Hispanic,Male,Aggravated Misdemeanor,Public Order,Sex Offender Registry/Residency,No,No Recidivism,0,0,0
2010,2013,55 and Older,0,Discharged or End of Sentence,White - Non-Hispanic,Male,Other Felony (Old Code),Violent,Murder/Manslaughter,No,No Recidivism,0,0,0
2010,2013,55 and Older,0,Discharged or End of Sentence,White - Non-Hispanic,Male,Other Felony (Old Code),Violent,Murder/Manslaughter,No,No Recidivism,0,0,0
2010,2013,25-34,293,Parole,White - Non-Hispanic,Male,D Felony,Property,Burglary,Yes,Tech,0,0,0
2010,2013,25-34,305,Parole,White - Non-Hispanic,Male,Felony - Enhanced,Drug,Trafficking,Yes,New,D Felony,Public Order,OWI
2010,2013,45-54,0,Parole,White - Non-Hispanic,Male,Aggravated Misdemeanor,Public Order,Traffic,No,No Recidivism,0,0,0
2010,2013,35-44,0,Parole,White - Non-Hispanic,Male,D Felony,Violent,Assault,No,No Recidivism,0,0,0
2010,2013,Under 25,0,Discharged or End of Sentence,Black - Non-Hispanic,Male,D Felony,Violent,Assault,No,No Recidivism,0,0,0
2010,2013,Under 25,0,Discharged or End of Sentence,Black - Non-Hispanic,Male,D Felony,Violent,Assault,No,No Recidivism,0,0,0
2010,2013,Under 25,0,Discharged or End of Sentence,Black - Non-Hispanic,Male,D Felony,Violent,Assault,No,No Recidivism,0,0,0
2010,2013,Under 25,0,Discharged or End of Sentence,Black - Non-Hispanic,Male,D Felony,Violent,Assault,No,No Recidivism,0,0,0
2010,2013,Under 25,0,Discharged or End of Sentence,Black - Non-Hispanic,Male,D Felony,Violent,Assault,No,No Recidivism,0,0,0
2010,2013,Under 25,0,Discharged or End of Sentence,Black - Non-Hispanic,Male,D Felony,Violent,Assault,No,No Recidivism,0,0,0
2010,2013,Under 25,0,Discharged or End of Sentence,Black - Non-Hispanic,Male,D Felony,Violent,Assault,No,No Recidivism,0,0,0
2010,2013,Under 25,0,Discharged or End of Sentence,Black - Non-Hispanic,Male,D Felony,Violent,Assault,No,No Recidivism,0,0,0
2010,2013,25-34,0,Parole,White - Non-Hispanic,Male,D Felony,Drug,Other Drug,No,No Recidivism,0,0,0
2010,2013,35-44,377,Discharged or End of Sentence,White - Non-Hispanic,Male,D Felony,Drug,Drug Possession,Yes,New,D Felony,Property,Theft
2010,2013,25-34,473,Discharged or End of Sentence,Black - Non-Hispanic,Male,Aggravated Misdemeanor,Property,Theft,Yes,New,Aggravated Misdemeanor,Property,Vandalism
2010,2013,Under 25,776,Discharged or End of Sentence,White - Non-Hispanic,Male,Aggravated Misdemeanor,Public Order,Weapons,Yes,New,Aggravated Misdemeanor,Property,Vandalism
